Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2018-01-19,11429.8,11992.8,11172.1,11607.4,10740400000,192150000000,11422.44,16813375,192049767135,1064413369.6,152387.221362,1.04835652121,0,1476.47878788,13.075,18273239.6226,2227847638500,28241982.9,491.48999429,1.16537471953,119.747628347,578406,243619,293927506,231462,152039,1953499.50915,219156.117899,2503297607.33
2018-01-18,11198.8,12107.3,10942.5,11474.9,15020400000,188242000000,11345.4233333,16811312.5,190731457101,1771113579.47,152214.242536,1.05084887283,0,1788.98843931,8.53333333333,19159214.877,2227847638500,31046750.9517,656.89753535,1.17968549705,103.353070594,744189,309495,293683887,293730,184028,2156724.20054,238995.693546,2711507318.13
2018-01-17,11431.1,11678,9402.29,11188.6,18830600000,192123000000,11116.9466667,16809150,186866424062,2926596198.21,152032.445681,1.06221141317,0,1890.84431138,13.425,18494733.4362,2227847638500,29865677.22,675.09668652,1.09448310181,97.2592164117,768381,315771,293374392,300012,196755,2469526.19425,252411.086289,2806040584.35
2018-01-16,13836.1,13843.1,10194.9,11490.5,18853800000,232517000000,11180.9983333,16807062.5,187919737801,2762626868.92,151855.056375,1.05005422013,0,1910.22012579,13.025,17608758.1818,2227847638500,28025172.3225,606.38246009,0.959737422673,95.4883380134,737398,303725,293058621,287366,174727,2889286.58911,270270.01332,3021888568.48
2018-01-15,13767.3,14445.5,13641.7,13819.8,12750800000,231334000000,14012.196,16805075,235476004695,758546178.583,151688.097754,1.05933004667,0,1824.15333333,8.48333333333,16612036.0206,2227847638500,32326136.172,510.11761779,1.18155572397,122.14154345,670839,273623,292754896,259372,173183,1497810.16815,201862.474143,2828536552.74
2018-01-14,14370.8,14511.8,13268,13772,11084100000,241447000000,13852.92,16803200,232773385344,804914641.612,151529.198247,1.05065776774,0,1516.41935484,7.73333333333,17165770.5546,2227847638500,32575141.38,491.32446483,1.25620435128,143.14838012,592041,235045,292481273,224444,154354,1269172.79927,193346.286562,2678410640.04
2018-01-13,13952.4,14659.5,13952.4,14360.2,12763600000,234391000000,14499.7733333,16801262.5,243614497964,740504186.96,151366.346293,1.0146375906,0,1783.45637584,9.68333333333,16501289.1138,2134254177770,33603224.7,528.46632102,1.32611413235,130.46256497,652049,265735,292246228,253379,176924,1365097.69525,180298.683402,2614290041.62
2018-01-12,13453.9,14229.9,13158.1,13980.6,12065700000,225986000000,13912.882,16799400,233728069871,1014053986.14,151215.165292,1.05466875843,0,1685.90449438,8.16666666667,17087521.8643,1931136454490,38260425.5,617.63579417,1.21245900363,131.790878011,747265,300091,291980493,286175,191086,1779515.71814,234452.116373,3261904629.75
2018-01-11,14968.2,15018.8,13105.9,13405.8,16534100000,251387000000,13296.794,16797175,223348575757,1663185737.56,151027.434253,1.05711745596,0,1751.08290155,11.425,18527481.5719,1931136454490,40136372.689,697.44083354,1.14839534969,122.358755399,822010,337959,291680402,322216,204041,1858450.48095,270807.50844,3600871653.38
2018-01-10,14588.5,14973.3,13691.2,14973.3,18500800000,244981000000,15126.3983333,16794762.5,254044267489,1634548780.4,150823.410584,1.0581949759,0,2092.72891566,13.7,15935554.0981,1931136454490,41068171.475,720.32570087,1.07551780415,121.715780176,876989,347393,291342443,330491,194819,2162979.76075,259905.10711,3931428179.01
